model,model_key,rmse_usd,rmse_log,mape,mdape,mape_1m,rmse_millions,split_year,n_train,n_val
XGBoost,xgboost,14058929.575577077,1.8699278615457529,584.5117423576983,83.26848646761081,68.6629754213021,14.058929575577077,2022,6422,1302
Ridge Regression,ridge,114662931.62063375,2.0179198949983137,2687.7763889355156,86.78514601680777,80.11545296682054,114.66293162063376,2022,6422,1302
Baseline (Median),baseline_median,23129928.812651213,2.69954832860548,1359.3466663820652,97.6117446286109,86.72645951167786,23.12992881265121,2022,6422,1302
