movie_key,tmdb_id,imdb_id,title,original_title,release_date_key,original_language,runtime_minutes,status,budget_usd,primary_genre,secondary_genre,collection_name,rating_key,popularity,vote_average,vote_count,production_companies,director_popularity,cast_popularity,max_cast_popularity,date_key,date,day,month,month_name,year,week_of_year,weekday_name,rating_code,rating_description,opening_weekend_gross_usd,opening_source,opening_source_url,studios_from_dim,director_has_prior,director_prior_count,director_recent_opening,lead_actor_has_prior,lead_actor_prior_count,lead_actor_recent_opening
11,155,tt0468569,The Dark Knight,The Dark Knight,20080716,en,152.0,Released,185000000.0,Action,Crime,The Dark Knight Collection,80,29.2846,8.527,35233.0,"Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",6.9678,3.8831799999999994,4.7964,20080716,2008-07-16,16,7,July,2008,28,Wednesday,PG-13,,158411483.0,bom,https://www.boxofficemojo.com/title/tt0468569/,"DC, Legendary Pictures, Syncopy, Warner Bros. Pictures",1,10,14801808.0,1,41,730819.0
12,767,tt0417741,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,20090715,en,153.0,Released,250000000.0,Adventure,Fantasy,Harry Potter Collection,79,14.2287,7.682,20518.0,"Warner Bros. Pictures, Heyday Films",1.1665,4.293380000000001,8.3309,20090715,2009-07-15,15,7,July,2009,28,Wednesday,PG,,77835727.0,bom,https://www.boxofficemojo.com/title/tt0417741/,"Heyday Films, Warner Bros. Pictures",1,8,,1,12,15810.0
13,1250,tt0259324,Ghost Rider,Ghost Rider,20070115,en,114.0,Released,110000000.0,Thriller,Action,Ghost Rider Collection,80,8.3475,5.588,6338.0,"Crystal Sky Pictures, Relativity Media, Columbia Pictures, Marvel Studios, Canarsie",0.3172,4.19446,8.8107,20070115,2007-01-15,15,1,January,2007,2,Monday,PG-13,,45388836.0,bom,https://www.boxofficemojo.com/title/tt0259324/,"Canarsie, Columbia Pictures, Crystal Sky Pictures, Marvel Studios, Relativity Media",1,2,40310419.0,1,63,9610204.0
14,1248,tt0367959,Hannibal Rising,Hannibal Rising,20070206,en,121.0,Released,75000000.0,Crime,Thriller,,83,0.6827,6.256,2360.0,"Quinta Communications, Ingenious Media, Delta (Young Hannibal) Ltd., DDL Cinematografica, Zephyr Films, ETIC Films, The De Laurentiis Company",0.2118,1.5292400000000002,3.0051,20070206,2007-02-06,6,2,February,2007,5,Tuesday,R,,13051650.0,bom,https://www.boxofficemojo.com/title/tt0367959/,"DDL Cinematografica, Delta (Young Hannibal) Ltd., ETIC Films, Ingenious Media, Quinta Communications, The De Laurentiis Company, Zephyr Films",1,4,89472.0,1,17,6668631.0
15,810,tt0413267,Shrek the Third,Shrek the Third,20070517,en,93.0,Released,160000000.0,Fantasy,Adventure,Shrek Collection,79,12.8726,6.304,9637.0,"DreamWorks Animation, Pacific Data Images",1.0866,3.5629399999999998,4.8057,20070517,2007-05-17,17,5,May,2007,19,Thursday,PG,,121629270.0,bom,https://www.boxofficemojo.com/title/tt0413267/,"DreamWorks Animation, Pacific Data Images",1,1,,1,49,108037878.0
16,1257,tt0490084,Because I Said So,Because I Said So,20070202,en,102.0,Released,0.0,Romance,Comedy,,80,0.9168,5.874,663.0,"Gold Circle Films, Universal Pictures, Mandate International",0.4783,2.00992,2.8188,20070202,2007-02-02,2,2,February,2007,4,Friday,PG-13,,13122865.0,bom,https://www.boxofficemojo.com/title/tt0490084/,"Gold Circle Films, Mandate International, Universal Pictures",1,9,12229529.0,1,51,12521027.0
17,1265,tt0398808,Bridge to Terabithia,Bridge to Terabithia,20070215,en,95.0,Released,60000000.0,Adventure,Drama,,79,8.6488,7.305,5132.0,"Lauren Levine Productions Inc., Walden Media, Hal Lieberman Company, Walt Disney Pictures",1.331,3.6946399999999997,4.5359,20070215,2007-02-15,15,2,February,2007,6,Thursday,PG,,22564612.0,bom,https://www.boxofficemojo.com/title/tt0398808/,"Hal Lieberman Company, Lauren Levine Productions Inc., Walden Media, Walt Disney Pictures",1,1,,1,14,16414767.0
18,1264,tt0811159,The Wild Soccer Bunch 4,Die Wilden Kerle 4,20070201,de,110.0,Released,5833536.0,Comedy,Family,The Wild Soccer Bunch Collection,5,0.26,5.2,82.0,"Bayerischer Banken-Fonds, SamFilm",0.0925,0.9908999999999999,1.136,20070201,2007-02-01,1,2,February,2007,4,Thursday,0,,4269201.0,bom,https://www.boxofficemojo.com/title/tt0811159/,"Bayerischer Banken-Fonds, SamFilm",1,4,3828144.0,1,6,3828144.0
19,1266,tt0421073,Street Kings,Street Kings,20080410,en,109.0,Released,20000000.0,Action,Crime,Street Kings Collection,83,4.4392,6.64,1629.0,"Fox Searchlight Pictures, Regency Enterprises, Dune Entertainment III, Yari Film Group, Emmett/Furla Films",1.4462,5.3536600000000005,11.3203,20080410,2008-04-10,10,4,April,2008,14,Thursday,R,,12469631.0,bom,https://www.boxofficemojo.com/title/tt0421073/,"Dune Entertainment III, Emmett/Furla Films, Fox Searchlight Pictures, Regency Enterprises, Yari Film Group",1,1,1968505.0,1,75,391672.0
20,1267,tt0396555,Meet the Robinsons,Meet the Robinsons,20070323,en,95.0,Released,150000000.0,Animation,Comedy,,54,5.2049,6.932,3076.0,"Walt Disney Animation Studios, Walt Disney Pictures",1.3689,0.95472,1.7612,20070323,2007-03-23,23,3,March,2007,11,Friday,G,,25123781.0,bom,https://www.boxofficemojo.com/title/tt0396555/,"Walt Disney Animation Studios, Walt Disney Pictures",1,4,,1,6,15115152.0
21,1268,tt0453451,Mr. Bean's Holiday,Mr. Bean's Holiday,20070322,en,90.0,Released,25000000.0,Family,Comedy,Mr. Bean Collection,54,3.3447,6.378,3050.0,"Tiger Aspect, Working Title Films, StudioCanal, Motion Picture Alpha Produktions, Universal Pictures",1.0605,2.6685800000000004,5.1717,20070322,2007-03-22,22,3,March,2007,11,Thursday,G,,9889780.0,bom,https://www.boxofficemojo.com/title/tt0453451/,"Motion Picture Alpha Produktions, StudioCanal, Tiger Aspect, Universal Pictures, Working Title Films",1,11,1009910.0,1,57,27112.0
22,1269,tt0446009,The Vexxer,Neues vom Wixxer,20070310,de,98.0,Released,0.0,Comedy,Crime,The Wixxer Collection,31,0.3915,6.5,148.0,,0.6843,0.80672,1.1881,20070310,2007-03-10,10,3,March,2007,9,Saturday,6,,2270699.0,bom,https://www.boxofficemojo.com/title/tt0446009/,,1,2,,1,5,1521009.0
23,1271,tt0416449,300,300,20070307,en,116.0,Released,65000000.0,Action,Adventure,300 Collection,83,10.8372,7.192,14507.0,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros. Pictures, Cruel & Unusual Films",3.784,3.71774,6.767,20070307,2007-03-07,7,3,March,2007,9,Wednesday,R,,70885301.0,bom,https://www.boxofficemojo.com/title/tt0416449/,"Atmosphere Entertainment MM, Cruel & Unusual Films, Hollywood Gang Productions, Legendary Pictures, Virtual Studios, Warner Bros. Pictures",1,4,26722575.0,1,21,4360.0
24,1273,tt0453556,TMNT,TMNT,20070323,en,87.0,Released,34000000.0,Adventure,Animation,,79,2.5535,6.164,1183.0,"Imagi Animation Studios, Mirage Studios",0.6659,1.53234,2.4684,20070323,2007-03-23,23,3,March,2007,11,Friday,PG,,24255205.0,bom,https://www.boxofficemojo.com/title/tt0453556/,"Imagi Animation Studios, Mirage Studios",0,0,,1,15,
25,1272,tt0448134,Sunshine,Sunshine,20070405,en,108.0,Released,50000000.0,Science Fiction,Thriller,,83,4.7282,6.959,4145.0,"Ingenious Media, Moving Picture Company, UK Film Council, DNA Films",1.818,5.522679999999999,8.1602,20070405,2007-04-05,5,4,April,2007,13,Thursday,R,,242964.0,bom,https://www.boxofficemojo.com/title/tt0448134/,"DNA Films, Ingenious Media, Moving Picture Company, UK Film Council",1,15,70224.0,1,22,135554.0
26,1407,tt0450188,La Vie en Rose,La Môme,20070214,fr,140.0,Released,25000000.0,Music,Drama,,80,1.2752,7.374,1707.0,"TF1 International, Légende Films, Okko Production, Songbird Pictures, TF1 Films Production",0.3043,1.5988,3.8288,20070214,2007-02-14,14,2,February,2007,6,Wednesday,PG-13,,179848.0,bom,https://www.boxofficemojo.com/title/tt0450188/,"Légende Films, Okko Production, Songbird Pictures, TF1 Films Production, TF1 International",1,8,46376.0,1,46,3721526.0
27,1450,tt0806027,Blood: The Last Vampire,Blood: The Last Vampire,20090402,en,91.0,Released,30000000.0,Action,Adventure,,83,1.043,5.859,410.0,"East Wing Holdings, SAJ, Beijing Happy Pictures Cultural Communications Co., Samuel Goldwyn Films, Destination Films, Production I.G, Focus Features, Edko Films",0.7918,2.29862,5.5026,20090402,2009-04-02,2,4,April,2009,13,Thursday,R,,110029.0,bom,https://www.boxofficemojo.com/title/tt0806027/,"Beijing Happy Pictures Cultural Communications Co., Destination Films, East Wing Holdings, Edko Films, Focus Features, Production I.G, SAJ, Samuel Goldwyn Films",1,2,13304027.0,1,7,1452441.0
28,1534,tt0446013,Pathfinder,Pathfinder,20070111,en,99.0,Released,45000000.0,Adventure,Action,,83,58.8295,5.666,760.0,"Dune Entertainment, Phoenix Pictures, Major Studio Partners, 20th Century Fox",0.7846,3.34672,6.3246,20070111,2007-01-11,11,1,January,2007,1,Thursday,R,,5001214.0,bom,https://www.boxofficemojo.com/title/tt0446013/,"20th Century Fox, Dune Entertainment, Major Studio Partners, Phoenix Pictures",1,6,29100000.0,1,15,15488870.0
29,1562,tt0463854,28 Weeks Later,28 Weeks Later,20070426,en,99.0,Released,15000000.0,Horror,Thriller,28 Days/Weeks/Years Later Collection,83,10.2929,6.605,5378.0,"DNA Films, Figment Films, UK Film Council, Fox Atomic, Koan, Sogecine",0.8124,3.3093399999999997,5.6373,20070426,2007-04-26,26,4,April,2007,16,Thursday,R,,9807292.0,bom,https://www.boxofficemojo.com/title/tt0463854/,"DNA Films, Figment Films, Fox Atomic, Koan, Sogecine, UK Film Council",1,3,7362.0,1,35,23239907.0
30,1571,tt0337978,Live Free or Die Hard,Live Free or Die Hard,20070620,en,128.0,Released,110000000.0,Action,Thriller,Die Hard Collection,80,6.8241,6.638,6228.0,"Dune Entertainment, Cheyenne Enterprises, Wintergreen Productions, 20th Century Fox, Ingenious Film Partners",1.2214,4.10192,5.4947,20070620,2007-06-20,20,6,June,2007,24,Wednesday,PG-13,,33369559.0,bom,https://www.boxofficemojo.com/title/tt0337978/,"20th Century Fox, Cheyenne Enterprises, Dune Entertainment, Ingenious Film Partners, Wintergreen Productions",1,2,26857181.0,1,79,6832318.0
31,1620,tt0465494,Hitman,Hitman,20071121,en,89.0,Released,24000000.0,Action,Thriller,Hitman Collection,83,5.3451,6.152,3584.0,"EuropaCorp, Charles Gordon Productions, Adrian Askarieh Productions",0.4825,2.7597,4.1633,20071121,2007-11-21,21,11,November,2007,46,Wednesday,R,,13180769.0,bom,https://www.boxofficemojo.com/title/tt0465494/,"Adrian Askarieh Productions, Charles Gordon Productions, EuropaCorp",1,1,512000.0,1,25,35201.0
32,1646,tt0463998,Freedom Writers,Freedom Writers,20070105,en,123.0,Released,21000000.0,Crime,Drama,,80,3.3682,7.9,2375.0,"Double Feature Films, Jersey Films, Kernos",0.3717,2.19482,4.2778,20070105,2007-01-05,5,1,January,2007,0,Friday,PG-13,,9405582.0,bom,https://www.boxofficemojo.com/title/tt0463998/,"Double Feature Films, Jersey Films, Kernos",1,3,39242.0,1,29,2622.0
33,1683,tt0444682,The Reaping,The Reaping,20070404,en,99.0,Released,40000000.0,Horror,,,83,1.6608,5.75,879.0,"Dark Castle Entertainment, Chime Films, Eyetronics, Village Roadshow Pictures, Warner Bros. Pictures",1.3991,3.0696199999999996,6.2581,20070404,2007-04-04,4,4,April,2007,13,Wednesday,R,,10025203.0,bom,https://www.boxofficemojo.com/title/tt0444682/,"Chime Films, Dark Castle Entertainment, Eyetronics, Village Roadshow Pictures, Warner Bros. Pictures",1,12,226165.0,1,30,9405582.0
